ID,Waiting Time,Response Time,Turn Around Time,Algorithm
173,58427,58528,58529,FCFS
174,58402,58864,58864,FCFS
175,58824,58865,58865,FCFS
176,58746,59247,59247,FCFS
177,59040,59882,59882,FCFS
179,59727,59927,59927,FCFS
180,59902,60523,60523,FCFS
178,60517,60968,60968,FCFS
181,60777,60948,60948,FCFS
182,60927,61668,61668,FCFS
184,61537,62038,62038,FCFS
183,61988,62492,62492,FCFS
185,62425,62847,62847,FCFS
186,62619,63500,63500,FCFS
187,63290,63851,63851,FCFS
189,63805,64555,64555,FCFS
188,64514,64915,64915,FCFS
190,64775,64875,64875,FCFS
191,64795,64825,64825,FCFS
192,64789,65070,65070,FCFS
193,64964,65295,65295,FCFS
194,65292,65422,65422,FCFS
195,65356,65367,65367,FCFS
198,65048,65439,65439,FCFS
196,65388,66029,66029,FCFS
197,65986,65996,65996,FCFS
199,65825,66557,66557,FCFS
200,66367,66867,66867,FCFS
201,66793,66993,66994,FCFS
202,66988,66998,66998,FCFS
203,66881,67732,67732,FCFS
204,67708,67788,67788,FCFS
206,67635,68135,68135,FCFS
205,68043,68774,68774,FCFS
207,68713,69355,69355,FCFS
208,69176,69407,69407,FCFS
210,69330,70141,70141,FCFS
209,70038,70209,70209,FCFS
212,70120,70421,70421,FCFS
211,70377,70688,70688,FCFS
213,70622,71324,71325,FCFS
214,71224,71395,71395,FCFS
215,71202,71703,71703,FCFS
216,71594,71704,71705,FCFS
218,71619,71920,71920,FCFS
217,71848,71968,71968,FCFS
220,71863,72505,72505,FCFS
219,72411,72441,72441,FCFS
221,72426,72477,72477,FCFS
222,72358,72618,72618,FCFS
223,72552,73226,73225,FCFS
224,73147,73357,73357,FCFS
225,73200,73501,73501,FCFS
227,73331,73672,73672,FCFS
226,73598,74430,74430,FCFS
229,74293,74616,74616,FCFS
228,74519,75250,75250,FCFS
230,75167,75599,75599,FCFS
231,75479,76100,76100,FCFS
232,75945,76026,76026,FCFS
233,75891,76561,76561,FCFS
234,76546,76656,76658,FCFS
236,76433,76733,76734,FCFS
235,76720,76920,76919,FCFS
239,76781,76831,76831,FCFS
237,76799,77091,77091,FCFS
238,77065,77075,77075,FCFS
240,76841,76965,76965,FCFS
241,76955,76966,76966,FCFS
242,76864,77456,77456,FCFS
243,77407,78298,78299,FCFS
244,78124,78716,78716,FCFS
246,78632,78853,78853,FCFS
245,78706,79406,79406,FCFS
247,79285,79897,79897,FCFS
