Patron 84,WaitingTime 28088ms,ResponseTime 28700, TAT in 28700ms
Patron 85,WaitingTime 28352ms,ResponseTime 28933, TAT in 28933ms
Patron 87,WaitingTime 28871ms,ResponseTime 28921, TAT in 28921ms
Patron 86,WaitingTime 28889ms,ResponseTime 29371, TAT in 29371ms
Patron 89,WaitingTime 29226ms,ResponseTime 29246, TAT in 29246ms
Patron 88,WaitingTime 29162ms,ResponseTime 29323, TAT in 29323ms
Patron 91,WaitingTime 29299ms,ResponseTime 29399, TAT in 29399ms
Patron 92,WaitingTime 29286ms,ResponseTime 29637, TAT in 29637ms
Patron 90,WaitingTime 29635ms,ResponseTime 30136, TAT in 30136ms
Patron 94,WaitingTime 29885ms,ResponseTime 31016, TAT in 31016ms
Patron 93,WaitingTime 30913ms,ResponseTime 31255, TAT in 31255ms
Patron 95,WaitingTime 31243ms,ResponseTime 31373, TAT in 31373ms
Patron 96,WaitingTime 31315ms,ResponseTime 31326, TAT in 31326ms
Patron 97,WaitingTime 31052ms,ResponseTime 31132, TAT in 31131ms
Patron 98,WaitingTime 31019ms,ResponseTime 31661, TAT in 31662ms
Patron 99,WaitingTime 31618ms,ResponseTime 32530, TAT in 32530ms
Throughput: 2 Patrons/Second
